0.000000 0.000000 
0.000000 1.000000 
0.000000 2.000000 
0.000000 3.000000 
0.000000 4.000000 
0.000000 5.000000 
0.070890 6.000000 
0.211786 7.000000 
0.479242 8.000000 
0.821557 9.000000 
2.118643 10.000000 
3.435766 11.000000 
4.973038 12.000000 
7.656692 13.000000 
11.106558 14.000000 
13.654613 15.000000 
19.489647 16.000000 
23.061843 17.000000 
31.437189 18.000000 
40.417116 19.000000 
62.490720 20.000000 
90.896181 21.000000 
97.446225 22.000000 
85.960561 23.000000 
80.075443 24.000000 
58.320234 25.000000 
43.750407 26.000000 
33.984012 27.000000 
30.961027 28.000000 
26.863550 29.000000 
25.547009 30.000000 
21.469591 31.000000 
20.164919 32.000000 
18.244303 33.000000 
15.507040 34.000000 
15.372848 35.000000 
14.251300 36.000000 
12.468336 37.000000 
12.759949 38.000000 
11.054900 39.000000 
