3334 -72.00000000 -36 -0.02158921
3335 -60.00000000 -32 -0.03956835
3336 -64.00000000 -34 -0.05873539
3337 -72.00000000 -36 -0.08028760
3338 -72.00000000 -36 -0.10182689
3339 -60.00000000 -32 -0.11976048
3340 -72.00000000 -36 -0.14127507
3341 -64.00000000 -34 -0.16038300
3342 -64.00000000 -34 -0.17947951
3343 -72.00000000 -36 -0.20095694
3344 -72.00000000 -36 -0.22242152
3345 -72.00000000 -36 -0.24387328
3346 -72.00000000 -36 -0.26531222
3347 -64.00000000 -34 -0.28434886
3348 -72.00000000 -36 -0.30576291
3349 -72.00000000 -36 -0.32716418
3350 -64.00000000 -34 -0.34616532
3351 -56.00000000 -30 -0.36276850
3352 -56.00000000 -30 -0.37936177
3353 -56.00000000 -30 -0.39594514
3354 -64.00000000 -34 -0.41490313
3355 -72.00000000 -36 -0.43623361
3356 -72.00000000 -36 -0.45755139
3357 -72.00000000 -36 -0.47885646
3358 -72.00000000 -36 -0.50014885
3359 -64.00000000 -34 -0.51904762
3360 -56.00000000 -32 -0.53555489
3361 -56.00000000 -32 -0.55205235
3362 -60.00000000 -32 -0.56972941
3363 -72.00000000 -36 -0.59096314
3364 -64.00000000 -34 -0.60980684
3365 -72.00000000 -36 -0.63101604
3366 -72.00000000 -36 -0.65221265
3367 -72.00000000 -36 -0.67339667
3368 -72.00000000 -36 -0.69456812
3369 -64.00000000 -34 -0.71335312
3370 -72.00000000 -36 -0.73450015
3371 -72.00000000 -36 -0.75563464
3372 -64.00000000 -34 -0.77438482
3373 -72.00000000 -36 -0.79549496
3374 -72.00000000 -36 -0.81659259
3375 -72.00000000 -36 -0.83767773
3376 -64.00000000 -34 -0.85638140
3377 -52.00000000 -30 -0.87152161
3378 -60.00000000 -32 -0.88902042
3379 -72.00000000 -36 -0.91005917
3380 -72.00000000 -36 -0.93108548
3381 -72.00000000 -36 -0.95209935
3382 -64.00000000 -34 -0.97073603
3383 -72.00000000 -36 -0.99172577
3384 -72.00000000 -36 -1.01270310
3385 -60.00000000 -32 -1.03012404
3386 -48.00000000 -28 -1.04399173
3387 -60.00000000 -32 -1.06139315
3388 -64.00000000 -34 -1.07996459
3389 -52.00000000 -30 -1.09498525
3390 -56.00000000 -32 -1.11117664
3391 -72.00000000 -36 -1.13207547
3392 -60.00000000 -32 -1.14942529
3393 -72.00000000 -36 -1.17030053
3394 -72.00000000 -36 -1.19116348
3395 -72.00000000 -36 -1.21201413
3396 -72.00000000 -36 -1.23285252
3397 -72.00000000 -36 -1.25367863
3398 -72.00000000 -36 -1.27449250
3399 -72.00000000 -36 -1.29529412
3400 -72.00000000 -36 -1.31608350
3401 -72.00000000 -36 -1.33686067
3402 -72.00000000 -36 -1.35762562
3403 -72.00000000 -36 -1.37837838
3404 -72.00000000 -36 -1.39911894
3405 -56.00000000 -32 -1.41514974
3406 -64.00000000 -34 -1.43351923
3407 -64.00000000 -34 -1.45187793
3408 -72.00000000 -36 -1.47257260
3409 -72.00000000 -36 -1.49325513
3410 -72.00000000 -36 -1.51392554
3411 -72.00000000 -36 -1.53458382
3412 -72.00000000 -36 -1.55523000
3413 -72.00000000 -36 -1.57586409
3414 -56.00000000 -28 -1.59180088
3415 -56.00000000 -30 -1.60772834
3416 -52.00000000 -30 -1.62247586
3417 -52.00000000 -30 -1.63721475
3418 -72.00000000 -36 -1.65779468
3419 -72.00000000 -36 -1.67836257
3420 -64.00000000 -34 -1.69657995
3421 -64.00000000 -34 -1.71478667
3422 -60.00000000 -32 -1.73181420
3423 -52.00000000 -30 -1.74649533
3424 -56.00000000 -32 -1.76233577
3425 -64.00000000 -34 -1.78050204
3426 -72.00000000 -36 -1.80099212
3427 -56.00000000 -30 -1.81680280
3428 -56.00000000 -30 -1.83260426
3429 -60.00000000 -32 -1.84956268
3430 -72.00000000 -36 -1.87000874
3431 -72.00000000 -36 -1.89044289
3432 -72.00000000 -36 -1.91086513
3433 -72.00000000 -36 -1.93127548
3434 -64.00000000 -34 -1.94934498
3435 -72.00000000 -36 -1.96973225
3436 -64.00000000 -34 -1.98778004
3437 -64.00000000 -34 -2.00581734
3438 -48.00000000 -28 -2.01919163
3439 -44.00000000 -24 -2.03139535
3440 -36.00000000 -16 -2.04126707
3441 -40.00000000 -20 -2.05229518
3442 -48.00000000 -26 -2.06564043
